Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KP ,434 ,BS ,0112 ,Computer Science ,1060,848,212,0,346,360,13,33,0
2015 ,KP ,434 ,BS ,0112 ,Computer Science ,27,22,5,0,1,3,0,0,0
2015 ,KP ,434 ,BS ,0112 ,Computer Science ,26,23,3,0,6,8,0,1,0
2015 ,KP ,434 ,MCS ,0112 ,Computer Science ,99,75,24,0,8,5,0,0,0
2015 ,KP ,434 ,MCS ,0112 ,Computer Science ,20,20,0,0,6,6,0,0,0
2015 ,KP ,434 ,MS ,0112 ,Computer Science ,85,69,16,0,13,5,2,1,1
2015 ,KP ,434 ,MS ,0112 ,Computer Science ,13,11,2,0,2,2,0,1,0
2015 ,KP ,434 ,MS ,4026 ,Bioinformatics ,5,2,3,0,1,0,0,0,0
2015 ,KP ,434 ,PHD ,0112 ,Computer Science ,310,242,68,0,63,23,2,6,0
2015 ,KP ,545 ,MS ,5244 ,Financial Engineering ,122,91,31,0,4,7,0,1,0
2015 ,KP ,545 ,NONE ,5333 ,Engineering Undeclared ,147,117,30,0,75,38,4,8,0
2015 ,KP ,615 ,BS ,4048 ,Aerospace Engineering ,513,462,51,0,281,104,5,51,1
2015 ,KP ,615 ,MS ,4048 ,Aerospace Engineering ,82,68,14,0,21,5,1,3,0
2015 ,KP ,615 ,NDEG ,4048 ,Aerospace Engineering ,2,2,0,0,0,0,0,0,0
2015 ,KP ,615 ,PHD ,4048 ,Aerospace Engineering ,60,56,4,0,20,2,0,1,0
2015 ,KP ,917 ,BS ,0118 ,Engineering Mechanics ,112,101,11,0,45,15,0,11,0
2015 ,KP ,917 ,BS ,0133 ,Mechanical Engineering ,893,754,139,0,489,147,14,61,2
2015 ,KP ,917 ,MENGR ,0133 ,Mechanical Engineering ,7,7,0,0,3,1,0,0,0
2015 ,KP ,917 ,MS ,0133 ,Mechanical Engineering ,183,159,24,0,48,9,1,8,1
2015 ,KP ,917 ,MS ,0133 ,Mechanical Engineering ,4,3,1,0,1,0,0,0,0
2015 ,KP ,917 ,MS ,0242 ,Theoretical & Applied Mechans ,10,8,2,0,5,0,0,0,0
2015 ,KP ,917 ,PHD ,0133 ,Mechanical Engineering ,164,146,18,0,25,4,0,3,0
2015 ,KP ,917 ,PHD ,0242 ,Theoretical & Applied Mechans ,37,31,6,0,12,3,0,1,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,294,213,81,0,122,65,0,12,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,4,3,1,0,1,1,0,0,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,24,18,6,0,8,6,0,2,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,20,16,4,0,9,4,1,0,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,9,5,4,0,2,1,1,2,0
2015 ,KP ,919 ,BS ,0130 ,Materials Science & Engr ,44,24,20,0,17,10,0,2,0
2015 ,KP ,919 ,MS ,0130 ,Materials Science & Engr ,42,28,14,0,12,5,0,0,0
2015 ,KP ,919 ,MS ,0130 ,Materials Science & Engr ,2,2,0,0,1,1,0,0,0
2015 ,KP ,919 ,PHD ,0130 ,Materials Science & Engr ,147,109,38,0,48,4,3,2,0
2015 ,KP ,933 ,BS ,0109 ,Computer Engineering ,1062,952,109,1,352,315,10,44,0
2015 ,KP ,933 ,BS ,0115 ,Electrical Engineering ,1146,1002,144,0,360,287,18,51,1
2015 ,KP ,933 ,MS ,1200 ,Electrical & Computer Engr ,242,204,38,0,46,29,2,5,0
